"Contract method","API request mapping","UI references (direct calls)","Availability / evidence"
"account.sessions","/me/sessions","pages/AccountPages.tsx","UNSUPPORTED / unavailable response or route capability"
"account.revokeSession","/me/sessions/${encodeURIComponent(sessionId)}","pages/AccountPages.tsx","UNSUPPORTED / unavailable response or route capability"
"account.revokeOtherSessions","/me/sessions/others","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"account.twoFactorStatus","/me/2fa","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"account.beginTwoFactorSetup","/me/2fa/setup","pages/AccountPages.tsx","UNSUPPORTED / unavailable response or route capability"
"account.verifyTwoFactorSetup","/me/2fa/setup/verification","pages/AccountPages.tsx","UNSUPPORTED / unavailable response or route capability"
"account.disableTwoFactor","/me/2fa","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"account.regenerateRecoveryCodes","/me/2fa/recovery-codes","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"account.requestDataExport","/me/data-export","pages/AccountPages.tsx","UNSUPPORTED / unavailable response or route capability"
"account.dataExportStatus","/me/data-export/${encodeURIComponent(jobId)}","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"account.requestDeletion","/me/deletion","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"registration.checkTeamName","/registrations/team-name${query({ name, tournamentId })}","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"registration.validatePlayer","/registrations/player-eligibility${query({ pubgId, tournamentId })}","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"registration.lookupPlayer","/players/lookup${query({ pubgId })}","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"registration.submit","/registrations","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.update","/admin/tournaments/${encodeURIComponent(id)}","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.create","/admin/tournaments","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.entries","/admin/tournaments/${encodeURIComponent(id)}/entries","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.reviewEntry","/admin/tournaments/${encodeURIComponent(tournamentId)}/entries/${encodeURIComponent(teamId)}","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.publishMatch","/admin/matches/${encodeURIComponent(id)}/publication","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.saveRoom","/admin/matches/${encodeURIComponent(id)}/room","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.list","/tournaments","pages/SpectatorPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.get","/tournaments/${encodeURIComponent(id)}","components/profile/PublicTeamDetail.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.join","/tournaments/${encodeURIComponent(tournamentId)}/entries","components/competition/TournamentJoinAction.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.slots","/tournaments/${encodeURIComponent(tournamentId)}/slots","pages/ProfilePages.tsx; pages/TournamentsPage.tsx; components/competition/TournamentJoinAction.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.publicParticipants","/tournaments/${encodeURIComponent(tournamentId)}/participants","pages/PublicPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.recap","/tournaments/${encodeURIComponent(tournamentId)}/recap","pages/PublicArchivePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.calendarEvent","/tournaments/${encodeURIComponent(tournamentId)}/calendar","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.cancel","/admin/tournaments/${encodeURIComponent(tournamentId)}/cancellation","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.archive","/admin/tournaments/${encodeURIComponent(tournamentId)}/archive","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"tournaments.missedCheckIns","/admin/check-ins/missed${query({ tournamentId, cursor })}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.current","/me/team","pages/ProfilePages.tsx; pages/TournamentsPage.tsx; components/competition/TournamentJoinAction.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.updateProfile","/teams/${encodeURIComponent(teamId)}","pages/TeamProfilePage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.list","/teams","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.setApproval","/admin/teams/${encodeURIComponent(teamId)}/approval","pages/AdminOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.checkIn","/tournaments/${encodeURIComponent(tournamentId)}/check-in","pages/TeamPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.withdraw","/tournaments/${encodeURIComponent(tournamentId)}/withdraw","pages/TeamPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.updateSocialLinks","/teams/${encodeURIComponent(teamId)}/social-links","pages/TeamProfilePage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.authority","/teams/${encodeURIComponent(teamId)}/authority","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.invitations","/team-invitations${query({ teamId, cursor })}","pages/CompletionPages.tsx; pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.invite","/teams/${encodeURIComponent(teamId)}/invitations","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.cancelInvitation","/teams/${encodeURIComponent(teamId)}/invitations/${encodeURIComponent(invitationId)}/cancellation","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.respondToInvitation","/team-invitations/${encodeURIComponent(invitationId)}/response","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.removeAuthorityMember","/teams/${encodeURIComponent(teamId)}/authority/${encodeURIComponent(memberId)}","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.transferOwnership","/teams/${encodeURIComponent(teamId)}/ownership","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.leave","/teams/${encodeURIComponent(teamId)}/leave","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"teams.archive","/teams/${encodeURIComponent(teamId)}/archive","pages/TeamManagementPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"achievements.listForTeam","/teams/${encodeURIComponent(teamId)}/achievements","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"achievements.legacyForTeam","/teams/${encodeURIComponent(teamId)}/legacy","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"achievements.featuredForTeam","/teams/${encodeURIComponent(teamId)}/achievements/featured","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"achievements.saveFeatured","/teams/${encodeURIComponent(teamId)}/achievements/featured","components/team/BadgeCabinet.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.list","/organizations","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.getBySlug","/organizations/${encodeURIComponent(slug)}","pages/CompletionPages.tsx; pages/ProfilePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.linkTeam","/organizations/${encodeURIComponent(organizationId)}/teams","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.unlinkTeam","/organizations/${encodeURIComponent(organizationId)}/teams/${encodeURIComponent(teamId)}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.updateSocialLinks","/organizations/${encodeURIComponent(organizationId)}/social-links","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.create","/organizations","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.members","/organizations/${encodeURIComponent(organizationId)}/members","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.invitations","/organizations/${encodeURIComponent(organizationId)}/invitations${query({ cursor })}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.inviteMember","/organizations/${encodeURIComponent(organizationId)}/member-invitations","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.inviteTeam","/organizations/${encodeURIComponent(organizationId)}/team-invitations","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.respondToInvitation","/organization-invitations/${encodeURIComponent(invitationId)}/response","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.removeTeam","/organizations/${encodeURIComponent(organizationId)}/teams/${encodeURIComponent(teamId)}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"organizations.transferOwnership","/organizations/${encodeURIComponent(organizationId)}/ownership","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.listTeams","/public/teams${query({ search })}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.teamBySlug","/public/teams/${encodeURIComponent(slug)}","pages/ProfileCardPage.tsx; pages/ProfilePages.tsx; components/profile/DirectoryTeamCard.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.matches","/public/teams/${encodeURIComponent(teamId)}/matches","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.upcomingMatch","/public/teams/${encodeURIComponent(teamId)}/upcoming-match","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.seasons","/public/teams/${encodeURIComponent(teamId)}/seasons","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.mapPerformance","/public/teams/${encodeURIComponent(teamId)}/map-performance","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.form","/public/teams/${encodeURIComponent(teamId)}/form","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"profiles.mapSpecialization","/public/teams/${encodeURIComponent(teamId)}/map-specialization","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"publicMatches.schedule","/matches?status=scheduled","pages/PublicPages.tsx; pages/SpectatorPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"publicMatches.history","/matches?status=completed","pages/PublicPages.tsx; pages/SpectatorPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"publicMatches.get","/matches/${encodeURIComponent(id)}","pages/PublicIdentityPages.tsx; pages/SpectatorPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"publicMatches.calendarEvent","/matches/${encodeURIComponent(id)}/calendar","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"search.public","/search${query({ q: value, cursor })}","pages/CompletionPages.tsx; components/search/GlobalSearch.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"players.getBySlug","/players/${encodeURIComponent(slug)}","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"players.list","/players${query({ search, cursor })}","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"players.claim","/players/${encodeURIComponent(playerId)}/claims","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"players.invitations","/me/player-invitations${query({ cursor })}","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"players.membershipHistory","/players/${encodeURIComponent(playerId)}/membership-history","No direct UI call (may be shared/indirect)","UNSUPPORTED / unavailable response or route capability"
"archive.seasons","/archive","pages/PublicIdentityPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"wrapped.forTeam","/teams/${encodeURIComponent(teamSlug)}/wrapped${query({ year: period.year?.toString(), seasonId: period.seasonId })}","pages/WrappedPage.tsx; components/profile/PublicTeamFeatures.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"follows.list","/me/follows","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"follows.status","/me/follows/status${query({ entityType, entityId })}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"follows.mutate","/me/follows","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"records.list","/records","pages/HomePage.tsx; pages/PublicArchivePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"records.get","/records/${encodeURIComponent(id)}","pages/PublicArchivePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"records.history","/records/${encodeURIComponent(id)}/history","pages/PublicArchivePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"media.validateBrandAsset","/media/validate","components/profile/ProfileElements.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"media.uploadBrandAsset","${root}/media/uploads","components/team/TeamMediaPreview.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"media.deleteBrandAsset","/media/teams/${encodeURIComponent(teamId)}/${kind}","components/team/TeamMediaPreview.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"media.uploadEvidence","${root}/media/uploads","pages/NewDisputePage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"media.evidenceAccess","/media/${encodeURIComponent(id)}/access","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"rooms.getForEligibleTeam","/team/tournaments/${encodeURIComponent(tournamentId)}/rounds/${encodeURIComponent(roundId)}/room","pages/TeamPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.roundEntries","/admin/results?roundId=${encodeURIComponent(roundId)}","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.leaderboard","/leaderboards/${encodeURIComponent(tournamentId)}","pages/PublicPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.snapshots","/leaderboards/${encodeURIComponent(tournamentId)}/snapshots","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.movement","/leaderboards/${encodeURIComponent(tournamentId)}/movement","pages/PublicPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.saveRound","/admin/results","pages/AdminCompetitionForms.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.versions","/admin/results/${encodeURIComponent(resultId)}/versions","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"results.correct","/admin/results/${encodeURIComponent(resultId)}/corrections","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.inbox","/me/notifications","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.messages","/me/messages","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.preferences","/me/notification-preferences","pages/AccountPages.tsx; pages/TeamSettingsPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.updatePreferences","/me/notification-preferences","pages/AccountPages.tsx; pages/TeamSettingsPage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.markRead","/me/notifications/${encodeURIComponent(id)}/read","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.markAllRead","/me/notifications/read-all","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"notifications.page","/me/notifications${query({ cursor, page: 'true' })}","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"rosterRequests.list","/roster-requests${query({ teamId })}","pages/AdminOperationsPages.tsx; pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"rosterRequests.get","/roster-requests/${encodeURIComponent(id)}","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"rosterRequests.submit","/roster-requests","pages/TeamPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"rosterRequests.review","/admin/roster-requests/${encodeURIComponent(id)}","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"disputes.list","/disputes${query({ teamId })}","pages/AdminOperationsPages.tsx; pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"disputes.get","/disputes/${encodeURIComponent(id)}","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"disputes.submit","/disputes","pages/NewDisputePage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"disputes.review","/admin/disputes/${encodeURIComponent(id)}","pages/TeamOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.adminTicket","/admin/support/tickets/${encodeURIComponent(id)}","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.adminReply","/admin/support/tickets/${encodeURIComponent(id)}/messages","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.listTickets","/me/support/tickets","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.getTicket","/me/support/tickets/${encodeURIComponent(id)}","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.createTicket","/me/support/tickets","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.page","/me/support/tickets${query({ cursor, status, page: 'true' })}","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.reply","/me/support/tickets/${encodeURIComponent(ticketId)}/messages","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.changeStatus","/admin/support/tickets/${encodeURIComponent(ticketId)}/status","pages/SupportPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"support.adminPage","/admin/support/tickets${query({ cursor, status })}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"operations.audit","/admin/audit","pages/AdminOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"operations.adminUsers","/admin/users","pages/AdminOperationsPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"operations.player","/admin/players/${encodeURIComponent(playerId)}","pages/CompletionPages.tsx","UNSUPPORTED / unavailable response or route capability"
"verifications.forEntity","/verifications/entity${query({ entityType, entityId })}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"verifications.get","/admin/verifications/${encodeURIComponent(id)}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"verifications.apply","/verifications","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"verifications.page","/admin/verifications${query({ status, cursor })}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"verifications.review","/admin/verifications/${encodeURIComponent(id)}","pages/CompletionPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"admin.blacklist","/admin/blacklist","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"admin.ban","/admin/blacklist","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"admin.sendMessage","/admin/messages","pages/AdminPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"legacyClaims.activate","POST /auth/legacy-activation","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.list","GET /me/legacy-claims","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.request","POST /me/legacy-claims","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.consume","POST /me/legacy-claims/:id/consume","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.roster","GET /me/legacy-roster","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.completeRoster","PUT /me/legacy-roster","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.holdings","GET /admin/legacy-teams","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.queue","GET /admin/legacy-claims","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
"legacyClaims.review","POST /admin/legacy-claims/:id/review","pages/LegacyClaimPages.tsx","IMPLEMENTED; local API/SQL/fixture browser tests; live staging NOT VERIFIED"
